date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:21:01	372/372	---MCZ	302	error ('Found')	text/html	date:Wed,%2026%20Oct%202022%2000:21:00%20GMT	https://www.casinoslot406.com/tr/logout	C:/casinoslot/fs/www.casinoslot406.com/tr/logout	(from https://www.casinoslot406.com/tr)
03:21:01	4648/4648	---M--	200	added ('OK')	image/png	etag:%22634d3035-1228%22	https://www.casinoslot406.com/img/spam.png?20221025-113311	C:/casinoslot/fs/www.casinoslot406.com/img/spam227d.png	(from https://www.casinoslot406.com/tr)
03:21:01	3874/3874	---M--	200	added ('OK')	image/png	etag:%22634d3035-f22%22	https://www.casinoslot406.com/img/support.png?20221025-113311	C:/casinoslot/fs/www.casinoslot406.com/img/support227d.png	(from https://www.casinoslot406.com/tr)
03:21:01	2577/2577	---M--	200	added ('OK')	image/png	etag:%22634d3035-a11%22	https://www.casinoslot406.com/img/bonus.png?20221025-113311	C:/casinoslot/fs/www.casinoslot406.com/img/bonus227d.png	(from https://www.casinoslot406.com/tr)
03:21:02	356/356	---M--	200	added ('OK')	image/png	etag:%22634d3035-164%22	https://www.casinoslot406.com/img/smb/close.png?20221025-113311	C:/casinoslot/fs/www.casinoslot406.com/img/smb/close227d.png	(from https://www.casinoslot406.com/tr)
03:21:02	1400/1400	---M--	200	added ('OK')	image/png	etag:%22634d3035-578%22	https://www.casinoslot406.com/img/smb/info.png	C:/casinoslot/fs/www.casinoslot406.com/img/smb/info.png	(from https://www.casinoslot406.com/tr)
03:21:02	351/351	---M--	200	added ('OK')	image/png	etag:%22634d3035-15f%22	https://www.casinoslot406.com/img/lock.png?20221025-113311	C:/casinoslot/fs/www.casinoslot406.com/img/lock227d.png	(from https://www.casinoslot406.com/tr)
03:21:02	437/437	---M--	200	added ('OK')	image/png	etag:%22634d3035-1b5%22	https://www.casinoslot406.com/img/ll_clock.png?20221025-113311	C:/casinoslot/fs/www.casinoslot406.com/img/ll_clock227d.png	(from https://www.casinoslot406.com/tr)
03:21:02	312/312	---MCZ	302	error ('Found')	text/html	date:Wed,%2026%20Oct%202022%2000:21:02%20GMT	https://www.casinoslot406.com/tr/profile/deposit/methods	C:/casinoslot/fs/www.casinoslot406.com/tr/profile/deposit/methods	(from https://www.casinoslot406.com/tr)
03:21:03	424/424	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Wed,%2026%20Oct%202022%2000:21:02%20GMT	https://www.casinoslot406.com/tr/access-denied	C:/casinoslot/fs/www.casinoslot406.com/tr/access-denied	(from https://www.casinoslot406.com/tr)
